30;1111100
2022;03;07;09;45;13;00;0
2022;03;08;08;30;17;15;30
2022;03;09;09;10;17;15;30
2022;03;10;09;00;15;10;30
2022;03;11;08;30;15;10;30
2022;03;14;09;20;15;35;30
2022;03;15;08;35;16;20;30
2022;03;16;08;20;15;30;30
2022;03;17;13;30;15;50;0
2022;03;18;08;40;16;00;30
2022;03;21;09;00;16;20;30
2022;03;23;10;30;15;45;30
2022;03;22;08;30;15;40;30
2022;03;24;09;30;16;15;30
2022;03;25;09;00;17;05;30
2022;03;28;08;15;16;30;30
2022;03;29;09;05;14;35;30
2022;03;30;08;30;17;10;30
2022;03;31;09;40;16;30;30
2022;04;01;09;00;09;00;0
2022;04;05;06;55;14;10;30
2022;04;04;09;00;09;00;0
2022;04;06;09;00;15;30;30
2022;04;07;08;25;14;15;30
2022;04;08;09;00;09;00;0
2022;04;11;08;40;18;00;30
2022;04;12;09;00;16;00;30
2022;04;14;09;10;17;55;30
2022;04;19;09;40;17;40;30
2022;04;18;10;00;16;00;0
2022;04;15;10;10;16;10;0
2022;04;13;08;30;15;45;30
2022;04;20;09;20;17;05;30
2022;04;21;09;00;16;10;30
2022;04;22;08;40;14;10;30
2022;04;25;09;00;17;20;30
2022;04;26;09;00;16;00;30
2022;04;27;09;00;16;00;30
2022;04;28;09;45;16;25;30
2022;04;29;08;45;17;05;30
2022;05;03;07;30;16;30;30
2022;05;02;08;45;16;10;30
2022;05;04;09;05;16;30;30
